"degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"PhD","E-mail",NA,NA,NA,"International",24,2,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",57,8.4,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",83,11.1,1
"PhD","E-mail",3.83,165,166,"International",152,18.1,2
"PhD","E-mail",3.8,156,166,"International with US Degree",47,5.8,3
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"MS","E-mail",NA,153,169,"International",55,4.3,4
"PhD","E-mail",3.6,144,170,"International",22,2.4,4
"PhD","Website",NA,NA,NA,"International",26,2.3,2
"MS","E-mail",3.8,165,166,"International",47,5.8,2
"MS","E-mail",NA,NA,NA,"International",37,5,4
"PhD","E-mail",NA,NA,NA,"American",57,11.5,2
"PhD","E-mail",NA,NA,NA,"American",57,8.4,2
"PhD","Other",NA,NA,NA,"American",73,6.7,2
"MS","Website",NA,NA,NA,"International",42,5.4,3
"MS","E-mail",NA,NA,NA,"International",53,6.9,4
"MS","Phone",NA,NA,NA,"International",68,8.7,11
"PhD","E-mail",2.7,146,167,"International",83,11.1,3
"PhD","E-mail",3.95,166,166,"American",22,2.4,2
"PhD","E-mail",3.28,149,151,"American",28,2.9,3
"PhD","E-mail",NA,NA,NA,"International",37,5,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",47,5.8,2
"PhD","E-mail",NA,NA,NA,"International",46,4.3,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",30,2.8,2
"PhD","E-mail",3.84,156,166,"American",57,11.5,2
"PhD","E-mail",3.81,167,163,"American",52,6.4,2
"MS","E-mail",3.23,158,160,"International",26,2.3,3
"MS","E-mail",3.91,168,155,"International with US Degree",37,5,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",50,5.7,4
"PhD","E-mail",NA,NA,NA,"International",NA,NA,2
"MS","E-mail",3.82,170,150,"International",15,1.5,3
"MS","E-mail",NA,NA,NA,"International",15,1.5,3
"PhD","E-mail",3.68,156,170,"International",25,3.5,2
"MS","E-mail",NA,162,162,"International",19,1.6,4
"MS","Website",NA,NA,NA,"International",50,5.7,4
"PhD","E-mail",NA,NA,NA,"International",83,11.1,2
"PhD","Website",3.44,142,154,"International",13,1.6,3
"MS","Website",3.65,161,166,"American",53,4.8,1
"MS","E-mail",4,156,170,"International",37,3.1,1
"PhD","Website",NA,NA,NA,"International with US Degree",85,12.3,2
"PhD","E-mail",3.6,157,161,"International",73,6.7,3
"PhD","E-mail",NA,NA,NA,"International",152,18.1,1
"PhD","Website",NA,NA,NA,"International",46,5.6,2
"PhD","E-mail",3,142,163,"International",24,2,4
"MS","E-mail",3.65,149,166,"International",68,8.7,3
"MS","E-mail",NA,NA,NA,"International",50,5.7,4
"PhD","E-mail",NA,156,164,"International",NA,NA,3
"MS","E-mail",NA,NA,NA,"International",30,2.3,3
"PhD","E-mail",NA,NA,NA,"International",53,6.9,2
"PhD","E-mail",NA,NA,NA,"American",83,9.9,1
"MS","E-mail",NA,NA,NA,"International",48,5.9,3
"PhD","Website",NA,NA,NA,"Other",25,3.5,3
"PhD","E-mail",NA,NA,NA,"International",32,2.7,2
"PhD","E-mail",NA,NA,NA,"International",57,8.4,2
"MS","E-mail",NA,NA,NA,"International",25,3.5,4
"MS","E-mail",NA,NA,NA,"American",68,8.7,4
"MS","E-mail",NA,NA,NA,"International",73,6.7,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",53,6.9,3
"MS","Website",3.37,149,161,"American",55,4.7,3
"MS","E-mail",NA,NA,NA,"American",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",48,5.9,3
"PhD","E-mail",NA,NA,NA,"International",40,3.6,2
"MS","E-mail",3.77,151,160,"American",42,2.6,3
"PhD","E-mail",NA,NA,NA,"International",22,2.5,3
"PhD","E-mail",NA,NA,NA,"International",52,6.4,2
"PhD","E-mail",NA,NA,NA,"American",53,6.9,2
"MS","E-mail",NA,NA,NA,"International",48,5.9,2
"PhD","E-mail",NA,NA,NA,"International",50,5.7,5
"PhD","E-mail",NA,NA,NA,"American",42,5.4,1
"PhD","E-mail",3.52,149,164,"International",37,3.1,2
"MS","E-mail",NA,145,168,"International",34,2.3,3
"PhD","E-mail",NA,NA,NA,"International",21,2.4,3
"MS","E-mail",3.4,152,166,"International",30,2.3,3
"MS","E-mail",NA,NA,NA,"International",53,6.9,4
"MS","E-mail",NA,NA,NA,"International with US Degree",68,8.7,2
"PhD","Website",3.92,154,165,"International",37,3.4,4
"PhD","E-mail",NA,NA,NA,"International",68,8.7,3
"PhD","E-mail",3.96,166,152,"International",24,2,3
"MS","Website",3.68,162,158,"International",38,3.1,3
"PhD","E-mail",NA,NA,NA,"American",46,4.3,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",53,6.9,4
"PhD","E-mail",3.5,142,169,"International",63,8.6,4
"PhD","Website",NA,NA,NA,"International",46,5.6,2
"MS","E-mail",3,154,164,"International",47,3,3
"PhD","E-mail",NA,NA,NA,"International",46,4.3,2
"PhD","Phone",NA,NA,NA,"American",19,1.6,2
"PhD","E-mail",NA,NA,NA,"International",83,11.1,2
"PhD","Website",NA,NA,NA,"International with US Degree",37,3.1,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",12,1.5,3
"MS","E-mail",NA,NA,NA,"American",53,6.9,3
"PhD","Phone",NA,NA,NA,"International with US Degree",22,2.4,4
"PhD","E-mail",NA,157,166,"International",12,1.8,3
"PhD","E-mail",NA,NA,NA,"International",83,11.1,3
"MS","E-mail",3,149,160,"International",6,1.2,2
"MS","Website",3.1,151,166,"International",55,4.3,2
