is_phd,is_ms,is_spring,is_fall,year,university_name,university_ranking,university_faculty,university_publication,gpa,gre_verbal,gre_quant,gre_writing,is_american,is_international_without_american_degree,is_international_with_american_degree
True,False,True,False,15,Columbia University,18,47.0,5.8,3.92,159.0,166.0,4.5,False,False,True
True,False,True,False,15,Iowa State University (ISU),156,15.0,1.5,3.65,147.0,170.0,3.0,False,True,False
True,False,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.8,160.0,168.0,4.5,True,False,False
True,False,True,False,15,University Of Utah (UoU),83,40.0,3.6,3.14,145.0,165.0,3.0,False,True,False
True,False,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.55,149.0,162.0,3.5,False,True,False
False,True,True,False,15,University Of Utah (UoU),83,40.0,3.6,3.7,154.0,163.0,3.5,False,True,False
False,True,True,False,15,University Of Utah (UoU),83,40.0,3.6,3.3,147.0,168.0,3.0,False,True,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.97,164.0,169.0,4.5,False,True,False
False,True,True,False,15,University Of Chicago (UChicago),12,23.0,2.7,3.3,164.0,166.0,5.5,True,False,False
True,False,True,False,15,George Washington University (GWU),95,11.0,1.4,2.7,148.0,166.0,3.5,False,True,False
True,False,True,False,15,University Of Virginia (UVA),72,21.0,2.4,3.71,150.0,170.0,4.0,False,True,False
False,True,True,False,15,"University Of Texas, Austin (UT Austin)",29,42.0,5.4,3.6,161.0,170.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.8,162.0,168.0,4.5,False,True,False
False,True,True,False,15,"University Of Texas, Austin (UT Austin)",29,42.0,5.4,3.8,162.0,168.0,4.5,False,True,False
False,True,True,False,15,"University Of Wisconsin, Madison",27,48.0,5.9,3.6,159.0,159.0,4.0,True,False,False
False,True,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.74,154.0,167.0,3.5,False,True,False
True,False,True,False,15,Colorado State University (CSU),238,10.0,1.2,2.6,163.0,145.0,3.0,False,True,False
False,True,True,False,15,"University Of Texas, Austin (UT Austin)",29,42.0,5.4,3.86,152.0,165.0,4.0,False,True,False
False,True,True,False,15,"University Of Texas, Austin (UT Austin)",29,42.0,5.4,3.48,158.0,168.0,4.0,False,True,False
